date	close	volume	open	high	low
2016-07-07	0.1965	0	0.1965	0.1965	0.1965
2016-07-06	0.1965	0	0.1965	0.1965	0.1965
2016-07-05	0.1965	0	0.1965	0.1965	0.1965
2016-07-01	0.1965	0	0.1965	0.1965	0.1965
2016-06-30	0.1965	167	0.1965	0.225	0.168
2016-06-29	0.1902	0	0.1902	0.1902	0.1902
2016-06-28	0.1902	0	0.1902	0.1902	0.1902
2016-06-27	0.1902	0	0.1902	0.1902	0.1902
2016-06-24	0.1902	0	0.1902	0.1902	0.1902
2016-06-23	0.1902	500	0.1902	0.1902	0.1902
2016-06-22	0.192	0	0.192	0.192	0.192
2016-06-21	0.192	0	0.192	0.192	0.192
2016-06-20	0.192	0	0.192	0.192	0.192
2016-06-17	0.192	0	0.192	0.192	0.192
2016-06-16	0.192	0	0.192	0.192	0.192
2016-06-15	0.192	0	0.192	0.192	0.192
2016-06-14	0.192	0	0.192	0.192	0.192
2016-06-13	0.192	0	0.192	0.192	0.192
2016-06-10	0.192	0	0.192	0.192	0.192
2016-06-09	0.192	0	0.192	0.192	0.192
2016-06-08	0.192	0	0.192	0.192	0.192
2016-06-07	0.192	0	0.192	0.192	0.192
2016-06-06	0.192	0	0.192	0.192	0.192
2016-06-03	0.192	0	0.192	0.192	0.192
2016-06-02	0.192	0	0.192	0.192	0.192
2016-06-01	0.192	91757	0.21	0.21	0.138
2016-05-31	0.204	0	0.204	0.204	0.204
2016-05-27	0.204	6167	0.204	0.204	0.204
2016-05-26	0.204	0	0.204	0.204	0.204
2016-05-25	0.204	0	0.204	0.204	0.204
2016-05-24	0.204	333	0.204	0.204	0.204
2016-05-23	0.21	5833	0.21	0.21	0.21
2016-05-20	0.2196	0	0.2196	0.2196	0.2196
2016-05-19	0.2196	0	0.2196	0.2196	0.2196
2016-05-18	0.2196	12500	0.2196	0.2196	0.2196
2016-05-17	0.2106	0	0.2106	0.2106	0.2106
2016-05-16	0.2106	0	0.2106	0.2106	0.2106
2016-05-13	0.2106	0	0.2106	0.2106	0.2106
2016-05-12	0.2106	0	0.2106	0.2106	0.2106
2016-05-11	0.2106	0	0.2106	0.2106	0.2106
2016-05-10	0.2106	0	0.2106	0.2106	0.2106
2016-05-09	0.2106	0	0.2106	0.2106	0.2106
2016-05-06	0.2106	0	0.2106	0.2106	0.2106
